d1638,284.6,Propofol Injectable Emulsion,9774,"Hospira, Inc.",1000 mg/100 mL (10 mg/mL) Single Use Vial (containing 0.005% edetate disodium EDTA) (NDC 00069-0248-10)
d1639,453.73,Propofol Injectable Emulsion,7715,"Hikma Pharmaceuticals USA, Inc. (formerly West-Ward)","10 mg/mL, 20 mL vial (NDC 0641-6194-10)"
d164,186.32,Bupivacaine Hydrochloride and Epinephrine Injection,5409,"Hospira, Inc.","Marcaine with Epinephrine 1:200,000 as the bitartrate 25 mg/10 mL (2.5 mg/mL 1:200,000); Single Dose Glass Fliptop Vial (NDC 00409-1746-10)"
d1640,781.26,Propofol Injectable Emulsion,3535,"Hikma Pharmaceuticals USA, Inc. (formerly West-Ward)","10 mg/mL, 50 mL vial (NDC 0641-6195-20"
d1641,752.72,Propofol Injectable Emulsion,3400,"Hikma Pharmaceuticals USA, Inc. (formerly West-Ward)","10 mg/mL, 100 mL vial (NDC 0641-6196-10"
d1642,866.22,Propofol Injectable Emulsion,4108,"Dr. Reddy's Laboratories, Inc.","1000mg/100mL vial, 10ct (NDC 43598-549-10)"
d1643,658.44,Propofol Injectable Emulsion,111,"Dr. Reddy's Laboratories, Inc.","1000mg/100mL vial, individual (NDC 43598-549-52)"
d1644,300.76,Propofol Injectable Emulsion,1233,"Dr. Reddy's Laboratories, Inc.","200mg/20mL vial, 25ct (NDC 43598-265-25)"
d1645,201.43,Protamine Sulfate Injection,9594,"Fresenius Kabi USA, LLC","50 mg per 5 mL (10 mg per mL), single dose vial, preservative free,  (NDC 63323-229-05)"
d1646,24.38,Protamine Sulfate Injection,4790,"Fresenius Kabi USA, LLC","250 mg per 25 mL (10 mg per mL), single dose vial, preservative free, (NDC 63323-229-30)"
d1647,346.91,Rabeprazole Sodium Delayed Release Tablets,5978,Teva Pharmaceuticals,20mg  (NDC 0093-0064-56 )
d1648,515.67,Ranolazine Extended Release Tablets,181,Teva Pharmaceuticals,500 mg  (NDC 45963-418-50)
d1649,407.62,Ranolazine Extended Release Tablets,9299,Teva Pharmaceuticals,1000 mg  (NDC 45963-419-50)
d165,358.57,Bupivacaine Hydrochloride and Epinephrine Injection,9723,"Hospira, Inc.","Marcaine with Epinephrine 1:200,000 as the bitartrate 75 mg/30 mL (2.5 mg/mL 1:200,000); Single Dose Glass Fliptop Vial (NDC 00409-1746-30)"
d1650,24.51,Repaglinide Tablets,9967,Sandoz,1mg tablets (NDC 0781-5149-01)
d1651,447.23,Rifampin (Rifadin) Capsules,3411,Sanofi-Aventis,150 mg capsules (NDC 0068-0510-30)
d1652,434.38,Rifampin (Rifadin) Capsules,5078,Sanofi-Aventis,300 mg capsules (NDC 0068-0508-60)
d1653,207.78,Rifampin Capsules,4537,"Lannett Company, Inc.",150 mg )NDC 0527-1393-30)
d1654,66.73,Rifampin Capsules,8523,"Lannett Company, Inc.",150 mg (NDC 0527-1393-01)
d1655,744.86,Rifampin Capsules,5994,"Lannett Company, Inc.",300 mg (NDC 0527-1315-30)
d1656,746.55,Rifampin Capsules,5327,"Lannett Company, Inc.",300 mg (NDC 0527-1315-06)
d1657,665.07,Rifampin Capsules,5858,"Lannett Company, Inc.",300 mg (NDC 0527-1315-01)
d1658,92.01,Rifampin Injection,6270,"Fresenius Kabi USA, LLC","600 mg per vial, PF, Lyophilized powder (NDC 63323-351-20)"
d1659,565.68,Rifampin Injection,6454,Sanofi,"600 mg/10 mL, Lyophilized powder (NDC 0068-0597-01)"
d166,921.41,Bupivacaine Hydrochloride and Epinephrine Injection,2692,"Hospira, Inc.","Marcaine with Epinephrine 1:200,000 as the bitartrate 50 mg/10 mL (5 mg/mL 1:200,000); Single Dose Glass Fliptop Vial (NDC 00409-1749-10)"
d1660,48.8,Rifampin Injection,8181,"Mylan Institutional, a Viatris company","600 mg, (Lyophilizate in Single Dose Vials) (NDC 67457-445-60)"
d1661,65.03,Rifampin/Isoniazid (Rifamate) Capsules,4992,Sanofi-Aventis,150 mg/300 mg capsules (NDC 0068-0509-60)
d1662,401.71,Rifampin/Isoniazid/Pyrazinamide (Rifater) Tablets,6272,Sanofi-Aventis,150 mg/300 mg/120 mg tablets (NDC 0088-0576-41)
d1663,572.82,Rifapentine Tablets,9028,Sanofi,"Rifapentine (Piftin) Tablets, 150 mg (NDC 0088-2102-24)"
d1664,122.42,Risedronate Tablets,821,Allergan Sales LLC,5 mg tablets (NDC 0430-0471-15)
d1665,797.44,Risperidone Tablets,8855,Janssen Pharmaceuticals,Risperidone 4 mg (NDC 50458-595-60)
d1666,153.75,Risperidone Tablets,2423,Janssen Pharmaceuticals,Risperidone 4 mg (NDC 50458-595-10)
d1667,810.92,Risperidone Tablets,7343,Janssen Pharmaceuticals,Risperidone 3 mg (NDC 50458-594-60)
d1668,474.32,Risperidone Tablets,734,Janssen Pharmaceuticals,Risperidone 3 mg (NDC 50458-594-50)
d1669,405.88,Risperidone Tablets,2847,Janssen Pharmaceuticals,Risperidone 2 mg (NDC 50458-593-60)
d167,793.13,Bupivacaine Hydrochloride and Epinephrine Injection,4521,"Hospira, Inc.","Marcaine with Epinephrine 1:200,000 as the bitartrate 150 mg/30 mL (5 mg/mL 1:200,000); Single Dose Glass Fliptop Vial (NDC 00409-1749-29)"
d1670,46.6,Risperidone Tablets,8283,Janssen Pharmaceuticals,Risperidone 2 mg (NDC 50458-593-50)
d1671,371.4,Risperidone Tablets,4684,Janssen Pharmaceuticals,Risperidone 2 mg (NDC 50458-593-10)
d1672,564.2,Risperidone Tablets,9730,Janssen Pharmaceuticals,Risperidone 1 mg (NDC 50458-592-60)
d1673,275.49,Risperidone Tablets,949,Janssen Pharmaceuticals,Risperidone 1 mg (NDC 50458-592-50)
d1674,765.83,Risperidone Tablets,7053,Janssen Pharmaceuticals,Risperidone 1 mg (NDC 50458-592-10)
d1675,306.01,Risperidone Tablets,7690,Janssen Pharmaceuticals,Risperidone 0.5 mg (NDC 50458-591-60)
d1676,418.67,Risperidone Tablets,6214,Janssen Pharmaceuticals,Risperidone 0.5 mg (NDC 50458-591-50)
d1677,744.09,Risperidone Tablets,6000,Janssen Pharmaceuticals,Risperidone 0.5 mg (NDC 50458-591-10)
d1678,6.87,Risperidone Tablets,8046,Janssen Pharmaceuticals,Risperidone 0.25 mg (NDC 50458-590-60)
d1679,676.67,Risperidone Tablets,6207,Janssen Pharmaceuticals,Risperidone 0.25 mg (NDC 50458-590-50)
d168,527.58,Bupivacaine Hydrochloride and Epinephrine Injection,5738,"Hospira, Inc.","Marcaine with Epinephrine 1:200,000 as the bitartrate 125 mg/50 mL (2.5 mg/mL 1:200,000); Multiple Dose Glass Fliptop Vial (NDC 00409-1752-50)"
d1680,572.72,Risperidone Tablets,3912,Janssen Pharmaceuticals,Risperidone 0.25 mg (NDC 50458-590-10)
d1681,622.45,Risperidone Tablets,3030,Janssen Pharmaceuticals,Risperdal 3 mg (NDC 50458-330-50)
d1682,128.29,Risperidone Tablets,1478,Janssen Pharmaceuticals,Risperdal 2 mg (NDC 50458-320-50)
d1683,861.4,Risperidone Tablets,4000,Janssen Pharmaceuticals,Risperdal 1 mg (NDC 50458-300-50)
d1684,530.84,Risperidone Tablets,9702,Janssen Pharmaceuticals,Risperdal 0.5 mg (NDC 50458-302-50)
d1685,378.45,Risperidone Tablets,2062,Janssen Pharmaceuticals,Risperdal 0.25 mg (NDC 50458-301-50)
d1686,777.73,Risperidone Tablets,1887,Janssen Pharmaceuticals,Risperdal 0.25 mg (NDC 50458-301-01)
d1687,497.81,Rocuronium Bromide Injection,9087,"Athenex Pharmaceutical Division, LLC (Athenex)",10 mg/mL 5mL vial (NDC 70860-651-05)
d1688,184.71,Rocuronium Bromide Injection,2814,"Athenex Pharmaceutical Division, LLC (Athenex)",10 mg/mL 10mL vial (NDC 70860-651-10)
d1689,497.59,Ropivacaine Hydrochloride Injection,817,Akorn Pharmaceuticals,"0.5% 5mg/mL, 30mL, 1 Vial (NDC 17478-0081-30)"
d169,801.85,Bupivacaine Hydrochloride and Epinephrine Injection,981,"Hospira, Inc.","Marcaine with Epinephrine 1:200,000 as the bitartrate 250 mg/50 mL (5 mg/mL 1:200,000); Multiple Dose Glass Fliptop Vial (NDC 00409-1755-50)"
d1690,33.26,Ropivacaine Hydrochloride Injection,6655,"Hospira, Inc.",20 mg/10 mL (2 mg/mL); Single Dose Glass Fliptop Vial (NDC 00409-9300-10)
d1691,693.59,Ropivacaine Hydrochloride Injection,3847,"Hospira, Inc.",40 mg/20 mL (2 mg/mL); Single Dose Glass Fliptop Vial (NDC 00409-9300-20)
d1692,882.15,Ropivacaine Hydrochloride Injection,698,"Hospira, Inc.",150 mg/30 mL (5 mg/mL); Single Dose Glass Fliptop Vial (NDC 00409-9301-30)
d1693,767.81,Ropivacaine Hydrochloride Injection,7487,"Hospira, Inc.",150 mg/20 mL (7.5 mg/mL); Single Dose Glass Fliptop Vial (NDC 00409-9302-20)
d1694,879.81,Ropivacaine Hydrochloride Injection,5499,"Hospira, Inc.",100 mg/10 mL (10 mg/mL); Single Dose Glass Fliptop Vial (NDC 00409-9303-10)
d1695,387.76,Ropivacaine Hydrochloride Injection,6633,"Hospira, Inc.",200 mg/20 mL (10 mg/mL); Single Dose Glass Fliptop Vial (NDC 00409-9303-20)
d1696,94.85,Ropivacaine Hydrochloride Injection,2155,AuroMedics Pharma LLC (mfd. by Aurobindo Pharma Ltd.),0.2% 20 mL Single Dose Vials (NDC 55150-195-20)
d1697,492.76,Ropivacaine Hydrochloride Injection,8855,AuroMedics Pharma LLC (mfd. by Aurobindo Pharma Ltd.),0.2% 100 mL Single Dose Infusion Bottles (NDC 55150-196-99)
d1698,110,Ropivacaine Hydrochloride Injection,1040,AuroMedics Pharma LLC (mfd. by Aurobindo Pharma Ltd.),0.5% 20 mL Single Dose Vials (NDC 55150-197-20)
d1699,978.71,Ropivacaine Hydrochloride Injection,2478,AuroMedics Pharma LLC (mfd. by Aurobindo Pharma Ltd.),0.5% 30 mL Single Dose Vials (NDC 55150-198-30)
d17,806.31,Alprostadil Suppository,7279,"Mylan Specialty, a Viatris Company",125 mcg (NDC 0037-8110-06)
d170,166.97,Bupivacaine Hydrochloride Injection,5957,AuroMedics Pharma LLC (mfd. by Aurobindo Pharma Ltd.),0.25% 10 mL Single Dose Vials (NDC 55150-167-10)
d1700,855.05,Ropivacaine Hydrochloride Injection,6708,AuroMedics Pharma LLC (mfd. by Aurobindo Pharma Ltd.),0.75% 20 mL Single Dose Vials (NDC 55150-199-20)
d1701,885.93,Ropivacaine Hydrochloride Injection,9080,AuroMedics Pharma LLC (mfd. by Aurobindo Pharma Ltd.),1% 10 mL Single Dose Vials (NDC 55150-200-10)
d1702,924.44,Ropivacaine Hydrochloride Injection,3076,AuroMedics Pharma LLC (mfd. by Aurobindo Pharma Ltd.),1% 20 mL Single Dose Vials (NDC 55150-201-20)
d1703,616.47,Ropivacaine Hydrochloride Injection,8064,"Fresenius Kabi USA, LLC","2 mg per mL / 0.2% (20 mg per 10 mL), Plastic Ampule, Sterile-Pak (NDC 63323-285-10)"
d1704,438.2,Ropivacaine Hydrochloride Injection,4739,"Fresenius Kabi USA, LLC","2 mg per mL / 0.2% (40 mg per 20 mL), Plastic Ampule, Sterile-Pak (NDC 63323-285-20)"
d1705,159.28,Ropivacaine Hydrochloride Injection,9571,"Fresenius Kabi USA, LLC","5 mg per mL / 0.5% (100 mg per 20 mL), Plastic Ampule, Sterile-Pak (NDC 63323-286-20)"
d1706,846.34,Ropivacaine Hydrochloride Injection,1224,"Fresenius Kabi USA, LLC","7.5 mg per mL / 0.75% (150 mg per 20 mL), Plastic Ampule, Sterile-Pak (NDC 63323-287-20)"
d1707,765.34,Ropivacaine Hydrochloride Injection,4020,"Fresenius Kabi USA, LLC","10 mg per mL / 1% (100 mg per 10 mL), Plastic Ampule, Sterile-Pak (63323-288-10)"
d1708,940.18,Ropivacaine Hydrochloride Injection,3726,"Fresenius Kabi USA, LLC","10 mg per mL / 1% (200 mg per 20 mL), Plastic Ampule, Sterile-Pak (NDC 63323-288-20)"
d1709,41.36,Ropivacaine Hydrochloride Injection,830,"Fresenius Kabi USA, LLC","2 mg per mL / 0.2% (200 mg per 100 mL), Single Dose Free Flex Bag (NDC 63323-285-61)"
d171,534.92,Bupivacaine Hydrochloride Injection,2631,AuroMedics Pharma LLC (mfd. by Aurobindo Pharma Ltd.),0.25% 30 mL Single Dose Vials (NDC 55150-168-30)
d1710,721.07,Ropivacaine Hydrochloride Injection,2286,"Fresenius Kabi USA, LLC","2 mg per mL / 0.2% (400 mg per 200 mL), Single Dose Free Flex Bag (NDC 63323-285-63)"
d1711,940.23,Ropivacaine Hydrochloride Injection,4653,"Fresenius Kabi USA, LLC","2 mg per mL / 0.2% (200 mg per 100 mL), Single Dose Infusion Bottle (NDC 63323-285-65)"
d1712,731.75,Ropivacaine Hydrochloride Injection,9853,"Fresenius Kabi USA, LLC","2 mg per mL / 0.2% (400 mg per 200 mL), Single Dose Infusion Bottle (NDC 63323-285-64)"
d1713,751.84,Ropivacaine Hydrochloride Injection,9922,"Fresenius Kabi USA, LLC","5 mg per mL / 0.5% (500 mg per 100 mL), Single Dose Infusion Bottle (NDC 63323-286-00)"
d1714,900.95,Ropivacaine Hydrochloride Injection,3384,"Fresenius Kabi USA, LLC","5 mg per mL / 0.5% (1,000 mg per 200 mL), Single Dose Infusion Bottle (NDC 63323-286-63)"
d1715,726.13,Ropivacaine Hydrochloride Injection,3116,"Fresenius Kabi USA, LLC","2 mg per mL / 0.2% (20 mg per 10 mL), Single Dose Vial (NDC 63323-285-13)"
d1716,947.19,Ropivacaine Hydrochloride Injection,5580,"Fresenius Kabi USA, LLC","2 mg per mL / 0.2% (40 mg per 20 mL), Single Dose Vial (NDC 63323-285-23)"
d1717,670.18,Ropivacaine Hydrochloride Injection,2216,"Fresenius Kabi USA, LLC","5 mg per mL / 0.5% (150 mg per 30 mL), Single Dose Vial (NDC 63323-286-35)"
d1718,915.34,Ropivacaine Hydrochloride Injection,2039,"Fresenius Kabi USA, LLC","5 mg per mL / 0.5% (100 mg per 20 mL), Single Dose Vial (NDC 63323-286-23)"
d1719,468.52,Ropivacaine Hydrochloride Injection,7695,"Fresenius Kabi USA, LLC","7.5 mg per mL / 0.75% (150 mg per 20 mL), Single Dose Vial (NDC 63323-287-21)"
d172,765.58,Bupivacaine Hydrochloride Injection,4949,AuroMedics Pharma LLC (mfd. by Aurobindo Pharma Ltd.),0.5% 10 mL Single Dose Vials (NDC 55150-169-10)
d1720,475.38,Ropivacaine Hydrochloride Injection,5796,"Fresenius Kabi USA, LLC","10 mg per mL / 1% (100 mg per 10 mL), Single Dose Vial (NDC 63323-288-11)"
d1721,202.76,Ropivacaine Hydrochloride Injection,2799,"Fresenius Kabi USA, LLC","10 mg per mL / 1% (200 mg per 20 mL), Single Dose Vial (NDC 63323-288-21)"
d1722,195.01,Ropivacaine Hydrochloride Injection,8309,"Fresenius Kabi USA, LLC","5 mg per mL / 0.5% (150 mg per 30 mL), Sterile-Pack, Single Dose Vial (NDC 63323-286-31)"
d1723,263.81,Ropivacaine Hydrochloride Injection,1249,Sagent Pharmaceuticals,500 mg per 100 mL (5 mg per mL 0.5%) (NDC 25021-652-82 )
d1724,123.78,Ropivacaine Hydrochloride Injection,486,Sagent Pharmaceuticals,"1,000 mg per 200 mL (5 mg per mL 0.5%) (NDC 25021-652-87)"
d1725,611.73,Ropivacaine Hydrochloride Injection,3548,Sagent Pharmaceuticals,0.2% 2mg/mL 10x100mL (NDC 25021-671-82)
d1726,666.19,Ropivacaine Hydrochloride Injection,6704,Sagent Pharmaceuticals,0.2% 2mg/mL 10x200mL (NDC 25021-671-87)
d1727,125.94,Ropivacaine Hydrochloride Injection,4834,Caplin Steriles Limited,"0.2%, 40 mg/20 mL (2 mg/mL) single dose vial (NDC 43066-015-10)"
d1728,911.89,Ropivacaine Hydrochloride Injection,192,Caplin Steriles Limited,"0.5%, 100 mg/20 mL (5 mg/mL) single dose vial (NDC 43066-019-10)"
d1729,806.27,Ropivacaine Hydrochloride Injection,6434,Caplin Steriles Limited,"0.5%, 150 mg/30 mL (5 mg/mL) single dose vial (NDC 43066-023-10)"
d173,934.62,Bupivacaine Hydrochloride Injection,2420,AuroMedics Pharma LLC (mfd. by Aurobindo Pharma Ltd.),0.5% 30 mL Single Dose Vials (NDC 55150-170-30)
d1730,291.77,Ropivacaine Hydrochloride Injection,6242,Caplin Steriles Limited,"1%, 200 mg/20 mL (10 mg/mL) single dose vial (NDC 43066-027-10)"
d1731,458.89,Rosiglitasone Tablets,3311,GlaxoSmithKline,2 mg (NDC 0173-0861-18)
d1732,681.49,Rosiglitasone Tablets,7052,GlaxoSmithKline,4 mg (NDC 0173-0863-13)
d1733,342.2,Salmeterol Xinafoate Inhalational Powder,1673,GlaxoSmithKline,"50 mcg, 28 blisters (NDC 0173-0520-00)"
d1734,852.7,Samarium SM 153 Lexidronam  (Quadramet) Injection,2619,Lantheus Medical Imaging INC,150mCi (NDC 11994-016-01)
d1735,216.64,Saquinavir Mesylate (Invirase) 200mg Capsules,8003,"Genentech, Inc",200 mg capsules (NDC 0004-0245-15)
d1736,453.41,Sclerosol Intrapleural Aerosol,3932,Lymol Medical Corp.,Sclerosol 4 GM (NDC 63256-100-30)
d1737,142.12,Scopolamine Transdermal System,8553,Mylan Pharmaceuticals Inc.,1 mg/3 days 24s (NDC 0378-6470-44)
d1738,565.41,"Sertraline Hydrochloride Oral Solution, USP",5695,Aurobindo Pharma,20mg/ml (NDC 64980-409-06)
d1739,371.79,"Sertraline Hydrochloride Oral Solution, USP",9257,"Upjohn US 1 LLC, a Viatris Company","Sertraline Hydrochloride 60 mL (20 mg/mL) oral concentrate, with 12% alcohol; bottle with calibrated dropper (NDC 59762-0067-1)"
d174,770.27,Bupivacaine Hydrochloride Injection,3319,AuroMedics Pharma LLC (mfd. by Aurobindo Pharma Ltd.),0.75% 10 mL Single Dose Vials (NDC 55150-171-10)
d1740,242.77,"Sertraline Hydrochloride Oral Solution, USP",7200,"Upjohn US 1 LLC, a Viatris Company","Zoloft (sertraline hydrochloride) 60 mL (20 mg/mL) oral concentrate, with 12% alcohol; bottle with calibrated dropper (NDC 0049-0050-01)"
d1741,690.29,"Sertraline Hydrochloride Oral Solution, USP",2313,Aurobindo Pharma,"20mg/ml, 60ml  (NDC 16714-601-02)"
d1742,322.92,Sertraline Hydrochloride Tablets,842,Accord Healthcare Inc.,"25 mg, 30 count (NDC 16729-215-10)"
d1743,583.95,Sertraline Hydrochloride Tablets,9831,Accord Healthcare Inc.,"25 mg, 90 count (NDC 16729-215-15)"
d1744,257.96,Sertraline Hydrochloride Tablets,3402,Accord Healthcare Inc.,"25 mg, 500 count (NDC 16729-215-16)"
d1745,703.23,Sertraline Hydrochloride Tablets,8334,Accord Healthcare Inc.,"50 mg, 90 count (NDC 16729-216-15)"
d1746,648.83,Sertraline Hydrochloride Tablets,2278,Accord Healthcare Inc.,"50 mg, 500 count (NDC 16729-216-16)"
d1747,185.68,Sertraline Hydrochloride Tablets,5799,Accord Healthcare Inc.,"100 mg, 90 count (NDC 16729-217-15)"
d1748,681.75,Sertraline Hydrochloride Tablets,8437,Accord Healthcare Inc.,"100 mg, 500 count (NDC 16729-217-16)"
d1749,525.59,Sertraline Hydrochloride Tablets,3883,Aurobindo Pharma,"25 mg, 30 count (NDC 65862-011-30)"
d175,552.08,Bupivacaine Hydrochloride Injection,5982,AuroMedics Pharma LLC (mfd. by Aurobindo Pharma Ltd.),0.75% 30 mL Single Dose Vials (NDC 55150-172-30)
d1750,669.47,Sertraline Hydrochloride Tablets,2604,Aurobindo Pharma,"25 mg, 100 count (NDC 65862-011-01)"
d1751,867.39,Sertraline Hydrochloride Tablets,1961,Aurobindo Pharma,"25 mg, 500 count (NDC 65862-011-05)"
d1752,475.37,Sertraline Hydrochloride Tablets,5144,Aurobindo Pharma,"50 mg, 30 count (NDC 65862-012-30)"
d1753,764.72,Sertraline Hydrochloride Tablets,2716,Aurobindo Pharma,"50 mg, 100 count (NDC 65862-012-01)"
d1754,668.84,Sertraline Hydrochloride Tablets,1408,Aurobindo Pharma,"50 mg, 500 count (NDC 65862-012-05)"
d1755,700.68,Sertraline Hydrochloride Tablets,2685,Aurobindo Pharma,"100 mg, 30 count (NDC 65862-013-30)"
d1756,891.29,Sertraline Hydrochloride Tablets,2839,Aurobindo Pharma,"100 mg, 100 count (NDC 65862-013-01)"
d1757,913.16,Sertraline Hydrochloride Tablets,7326,Aurobindo Pharma,"100 mg, 500 count (NDC 65862-013-05)"
d1758,51.14,Sertraline Hydrochloride Tablets,1303,Aurobindo Pharma,"25 mg, 30 count (NDC 16714-611-01)"
d1759,357.89,Sertraline Hydrochloride Tablets,830,Aurobindo Pharma,"25 mg, 100 count (NDC 16714-611-04)"
d176,311.78,Bupivacaine Hydrochloride Injection,5527,AuroMedics Pharma LLC (mfd. by Aurobindo Pharma Ltd.),0.25% 50 mL Multiple Dose Vials (NDC 55150-249-50)
d1760,649.27,Sertraline Hydrochloride Tablets,9391,Aurobindo Pharma,"25 mg, 500 count (NDC 16714-611-05)"
d1761,959.84,Sertraline Hydrochloride Tablets,1205,Aurobindo Pharma,"25 mg, 1000 count (NDC 16714-611-06)"
d1762,767.09,Sertraline Hydrochloride Tablets,825,Aurobindo Pharma,"50 mg, 30 count (NDC 16714-612-01)"
d1763,677.88,Sertraline Hydrochloride Tablets,9620,Aurobindo Pharma,"50 mg, 100 count (NDC 16714-612-04)"
d1764,948.74,Sertraline Hydrochloride Tablets,5888,Aurobindo Pharma,"50 mg, 500 count (NDC 16714-612-05)"
d1765,249.75,Sertraline Hydrochloride Tablets,7433,Aurobindo Pharma,"50 mg, 1000 count (NDC 16714-612-06)"
d1766,536.16,Sertraline Hydrochloride Tablets,6190,Aurobindo Pharma,"100 mg, 30 count (NDC 16714-613-01)"
d1767,947.44,Sertraline Hydrochloride Tablets,6669,Aurobindo Pharma,"100 mg, 100 count (NDC 16714-613-04)"
d1768,778.58,Sertraline Hydrochloride Tablets,6551,Aurobindo Pharma,"100 mg, 500 count (NDC 16714-613-05)"
d1769,89.4,Sertraline Hydrochloride Tablets,4839,Aurobindo Pharma,"100 mg, 1000 count (NDC 16714-613-06)"
d177,791.14,Bupivacaine Hydrochloride Injection,3364,AuroMedics Pharma LLC (mfd. by Aurobindo Pharma Ltd.),0.5% 50 mL Multiple Dose Vials (NDC 55150-250-50)
d1770,406.56,Sertraline Hydrochloride Tablets,7192,Viatris,Zoloft 25 mg; Bottle of 30 tablets (NDC 0049-4960-30); Pfizer label
d1771,524.61,Sertraline Hydrochloride Tablets,8279,Viatris,Zoloft 50 mg; Bottle of 30 tablets (NDC 0049-4900-30); Pfizer label
d1772,198,Sertraline Hydrochloride Tablets,1916,Viatris,Zoloft 50 mg; Blister of 10 tablets (NDC 0049-4900-41); Pfizer label
d1773,861.27,Sertraline Hydrochloride Tablets,282,Viatris,Zoloft 100 mg; Bottle of 30 tablets (NDC 0049-4910-30); Pfizer label
d1774,495.6,Sertraline Hydrochloride Tablets,3606,Viatris,Zoloft 100 mg; Blister of 10 tablets (NDC 0049-4910-41); Pfizer label
d1775,685.94,Sertraline Hydrochloride Tablets,9560,Viatris,25 mg; Bottle of 30 tablets (NDC 59762-6347-1); Greenstone label
d1776,540.94,Sertraline Hydrochloride Tablets,1553,Viatris,50 mg; Bottle of 30 tablets (NDC 59762-6443-1); Greenstone label
d1777,644.11,Sertraline Hydrochloride Tablets,3745,Viatris,100 mg; Bottle of 30 tablets (NDC 59762-5160-1); Greenstone label
d1778,959.74,Sertraline Hydrochloride Tablets,2605,Viatris,100 mg; Bottle of 100 tablets (NDC 59762-5160-2); Greenstone label
d1779,832.57,Sertraline Hydrochloride Tablets,3548,Lupin,"25 mg, 30 count (NDC 68180-351-06)"
d178,606.91,Bupivacaine Hydrochloride Injection,5322,"Hospira, Inc.",25 mg/10 mL (2.5 mg/mL); Single Dose Glass Teartop Vial (NDC 00409-1159-01)
d1780,736.26,Sertraline Hydrochloride Tablets,9015,Lupin,"25 mg, 90 count  (NDC 68180-351-09)"
d1781,587.85,Sertraline Hydrochloride Tablets,1856,Lupin,"25 mg, 1000 count (NDC 68180-351-03)"
d1782,518.37,Sertraline Hydrochloride Tablets,9213,Lupin,"50 mg, 30 count (NDC 68180-352-06)"
d1783,422.47,Sertraline Hydrochloride Tablets,7910,Lupin,"50 mg, 90 count (NDC 68180-352-09)"
d1784,174.67,Sertraline Hydrochloride Tablets,1743,Lupin,"50 mg, 500 count (NDC 68180-352-02)"
d1785,563.33,Sertraline Hydrochloride Tablets,8155,Lupin,"50 mg, 5000 count (NDC 68180-352-05)"
d1786,90.29,Sertraline Hydrochloride Tablets,4572,Lupin,"100 mg, 30 count (NDC 68180-353-06)"
d1787,264.29,Sertraline Hydrochloride Tablets,569,Lupin,"100 mg, 90 count (NDC 68180-353-09)"
d1788,821.05,Sertraline Hydrochloride Tablets,1044,Lupin,"100 mg, 500 count (NDC 68180-353-02)"
